 start_time,end_time,servce_provider,longi,lati,upload_speed,download_speed,delay,bandwith_1,earfcn_1,physical_cell_id_1,plmn_1,global_cell_id_1,ecgi_1,rsrp_1,rsrq_1,sinr_1,bandwith_2,earfcn_2,physical_cell_id_2,plmn_2,global_cell_id_1,ecgi_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 20_49_49.943155,2022-06-14 20_50_27.671377,JIO,NA,NA,5.71238794690782,17.4006676765627,63.683,20MHz,38750,350,405854,2001938,405854006f01e8c12,-89dBm,-11dB,7dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-84dBm,-11dB,10dB,3
2022-06-14 20_51_05.056904,2022-06-14 20_51_34.496243,JIO,NA,NA,6.2615068472454,20.6018243239526,53.377,20MHz,38750,350,405854,2001938,405854006f01e8c12,-91dBm,-11dB,8dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-84dBm,-11dB,13dB,3
2022-06-14 20_53_06.742683,2022-06-14 20_53_46.205815,JIO,NA,NA,6.04261531808477,13.6486949857636,59.851,20MHz,38750,350,405854,2001938,405854006f01e8c12,-86dBm,-11dB,10dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-89dBm,-11dB,10dB,3
2022-06-14 20_54_00.769246,2022-06-14 20_54_34.169849,JIO,NA,NA,5.67524054780157,10.4480437226391,57.029,20MHz,38750,350,405854,2001938,405854006f01e8c12,-89dBm,-11dB,5dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-84dBm,-11dB,10dB,3
2022-06-14 20_56_35.705536,2022-06-14 20_57_10.117477,JIO,NA,NA,8.1546350878914,15.1114619713515,61.04,1OMHz,2453,161,405854,2001970,405854006f01 e8c32,-90dBm,-7dB,13dB,1OMHz,2453,161,405854,2001970,405854006f01 e8c32,-90dBm,-7dB,7dB,3
2022-06-14 20_57_28.905641,2022-06-14 20_58_02.366239,JIO,NA,NA,10.7303235171666,11.4735138300983,62.349,1OMHz,2453,161,405854,2001970,405854006f01 e8c32,-90dBm,-7dB,7dB,1OMHz,2453,161,405854,2001970,405854006f01 e8c32,-90dBm,-7dB,12dB,4
2022-06-14 20_59_09.575075,2022-06-14 20_59_41.766429,JIO,NA,NA,4.49222648206219,13.5770054011373,67.213,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-15dB,4dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-15dB,0dB,4
2022-06-14 21_01_07.696151,2022-06-14 21_01_55.028249,JIO,NA,NA,4.72738241155599,16.0936550847169,61.315,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-10dB,12dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-10dB,4dB,4
2022-06-14 21_02_10.256796,2022-06-14 21_02_41.150986,JIO,NA,NA,5.52269994866897,21.8491708395553,59.2,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-10dB,7dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-10dB,4dB,4
2022-06-14 21_05_33.815772,2022-06-14 21_06_04.440867,JIO,NA,NA,4.73564560345081,16.4211231131583,60.408,20MHz,38750,350,405854,2001938,405854006f01e8c12,-87dBm,-11dB,13dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-87dBm,-11dB,15dB,4
2022-06-14 21_06_38.605619,2022-06-14 21_07_51.090044,JIO,NA,NA,3.30253049361776,11.0284418698394,180.876,20MHz,38750,350,405854,2001938,405854006f01e8c12,-87dBm,-11dB,10dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-92dBm,-11dB,11dB,5
2022-06-14 21_08_21.978075,2022-06-14 21_09_51.628358,JIO,NA,NA,0.140231236518098,4.183155951265,62.603,20MHz,38750,350,405854,2001938,405854006f01e8c12,-86dBm,-11dB,20dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-16dB,4dB,5
2022-06-14 21_10_45.699742,2022-06-14 21_12_13.010187,JIO,NA,NA,0.072422963989589,0.036431686578983,64.048,20MHz,38750,350,405854,2001938,405854006f01e8c12,-91dBm,-11dB,11dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-95dBm,-11dB,12dB,5
2022-06-14 21_14_08.329389,2022-06-14 21_15_41.285952,JIO,NA,NA,0.096934147670041,0.041803316061314,64.032,20MHz,38750,350,405854,2001938,405854006f01e8c12,-97dBm,-11dB,8dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-11dB,6dB,5
2022-06-14 21_15_55.709265,2022-06-14 21_17_31.316671,JIO,NA,NA,0.096633670695103,0.044045363713712,65.563,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-11dB,12dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-11dB,4dB,5
2022-06-14 21_20_11.478995,2022-06-14 21_21_39.206413,JIO,NA,NA,0.080893990936944,0.048374580256424,64.604,20MHz,38750,350,405854,2001938,405854006f01e8c12,-92dBm,-11dB,8dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-11dB,7dB,6
2022-06-14 21_21_54.885400,2022-06-14 21_23_13.595183,JIO,NA,NA,0.082737922883006,0.051621142216389,67.46,20MHz,38750,350,405854,2001938,405854006f01e8c12,-96dBm,-11dB,4dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-91dBm,-11dB,8dB,6
2022-06-14 21_23_35.352982,2022-06-14 21_25_01.632481,JIO,NA,NA,0.111798686280994,0.035312539600013,68.605,20MHz,38750,350,405854,2001938,405854006f01e8c12,-98dBm,-11dB,9dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-92dBm,-11dB,8dB,6
2022-06-14 21_25_15.892297,2022-06-14 21_26_34.183826,JIO,NA,NA,0.093385609334742,0.043110302553203,71.999,20MHz,38750,350,405854,2001938,405854006f01e8c12,-97dBm,-11dB,10dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-98dBm,-11dB,10dB,6
2022-06-14 21_27_18.454700,2022-06-14 21_28_51.059597,JIO,NA,NA,0.079236489470422,0.035208340233466,68.906,20MHz,38750,350,405854,2001938,405854006f01e8c12,-98dBm,-11dB,4dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-101dBm,-11dB,10dB,6
2022-06-14 21_31_52.305878,2022-06-14 21_33_26.966648,JIO,NA,NA,0.082915803802453,0.0422917823226,70.919,20MHz,38750,350,405854,2001938,405854006f01e8c12,-98dBm,-10dB,10dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-98dBm,-10dB,9dB,7
